participant_id	ant_corr	ant_incorr	ant_RT	alerting-code	cued-code	congruency-code
sub-pp001	1.0	0.0	542.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	437.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	391.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	408.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	471.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	504.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	642.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	521.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	593.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	569.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	482.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	389.0	0.0	0.0	1.0
sub-pp001	0.0	1.0	408.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	563.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	517.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	446.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	481.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	559.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	509.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	430.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	503.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	492.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	532.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	511.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	353.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	552.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	521.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	553.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	386.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	391.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	567.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	446.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	545.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	465.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	465.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	541.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	546.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	484.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	444.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	475.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	365.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	546.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	479.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	507.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	515.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	475.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	505.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	483.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	636.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	438.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	575.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	420.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	402.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	465.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	453.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	462.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	525.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	455.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	588.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	340.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	455.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	430.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	420.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	397.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	356.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	304.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	404.0	1.0	2.0	2.0
sub-pp001	0.0	1.0	400.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	554.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	418.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	282.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	565.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	412.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	347.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	347.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	575.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	557.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	362.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	444.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	469.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	399.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	488.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	423.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	464.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	398.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	413.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	415.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	481.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	438.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	404.0	1.0	0.0	2.0
sub-pp001	0.0	1.0	372.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	354.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	439.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	526.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	415.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	456.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	457.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	474.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	322.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	500.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	413.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	445.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	313.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	345.0	1.0	2.0	2.0
sub-pp001	0.0	1.0	295.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	497.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	425.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	441.0	1.0	2.0	1.0
sub-pp001	1.0	0.0	389.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	328.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	348.0	1.0	0.0	2.0
sub-pp001	0.0	1.0	365.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	380.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	421.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	421.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	428.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	425.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	482.0	0.0	2.0	0.0
sub-pp001	1.0	0.0	516.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	591.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	520.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	453.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	425.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	298.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	512.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	433.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	561.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	525.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	365.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	537.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	434.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	534.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	471.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	421.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	452.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	329.0	1.0	1.0	2.0
sub-pp001	1.0	0.0	398.0	0.0	2.0	2.0
sub-pp001	1.0	0.0	488.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	391.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	429.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	405.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	343.0	1.0	1.0	1.0
sub-pp001	1.0	0.0	353.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	349.0	0.0	1.0	2.0
sub-pp001	1.0	0.0	568.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	438.0	1.0	2.0	2.0
sub-pp001	0.0	1.0	394.0	1.0	2.0	0.0
sub-pp001	1.0	0.0	507.0	1.0	0.0	1.0
sub-pp001	1.0	0.0	580.0	1.0	0.0	0.0
sub-pp001	1.0	0.0	511.0	1.0	2.0	2.0
sub-pp001	1.0	0.0	479.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	487.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	439.0	1.0	1.0	0.0
sub-pp001	1.0	0.0	505.0	1.0	0.0	2.0
sub-pp001	1.0	0.0	493.0	0.0	1.0	0.0
sub-pp001	1.0	0.0	408.0	0.0	1.0	1.0
sub-pp001	1.0	0.0	440.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	587.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	478.0	0.0	0.0	2.0
sub-pp001	1.0	0.0	585.0	0.0	0.0	0.0
sub-pp001	1.0	0.0	395.0	0.0	0.0	1.0
sub-pp001	1.0	0.0	426.0	0.0	2.0	1.0
sub-pp001	1.0	0.0	354.0	1.0	0.0	2.0
